WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48354,อุดรธานี,UDON THANI,อุดรธานี,17.38333,102.80000,2025-06-11 07:00,1005.38,23.4,33.4,1.2,23.3,-1.1,98,140,3,46.40
48356,สกลนคร,SAKON NAKHON,สกลนคร,17.15000,104.13333,2025-06-11 07:00,1004.88,24.5,32.8,0.7,24.0,-1.6,100,280,6,66.30
48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,17.12503,104.06100,2025-06-11 07:00,1005.42,24.3,34.0,2.1,24.0,-1.0,97,000,0,46.20
48357,นครพนม,NAKHON PHANOM,นครพนม,17.41083,104.78250,2025-06-11 07:00,1004.85,27.5,33.5,1.2,25.7,2.6,89,000,0,0.00
48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,17.44306,104.77361,2025-06-11 07:00,1005.04,27.1,33.1,0.6,25.2,2.4,95,340,2,0.10
48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,17.23250,102.42944,2025-06-11 07:00,1004.46,24.7,32.7,0.7,24.5,-0.9,98,110,1,8.60
48363,บึงกาฬ,Bueng Kan,บึงกาฬ,18.41361,103.51672,2025-06-11 07:00,1004.87,25.0,33.3,0.9,24.7,-0.9,96,320,1,2.50
48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,17.10611,99.80000,2025-06-11 07:00,1004.20,27.0,35.2,-0.5,26.7,-0.7,92,000,0,1.20
48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,17.16136,99.86167,2025-06-11 07:00,1004.69,27.0,34.9,-0.4,26.9,-0.1,94,000,0,0.00
48376,ตาก,TAK,ตาก,16.87833,99.14333,2025-06-11 07:00,1005.05,28.2,34.7,0.7,27.0,0.6,75,270,5,2.60
48375,แม่สอด,MAE SOT,ตาก,16.65917,98.55083,2025-06-11 07:00,1004.69,25.5,33.5,-1.0,24.0,0.0,92,000,0,0.00
48377,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,17.24389,99.00250,2025-06-11 07:00,1004.93,26.8,33.7,-1.9,26.4,-0.3,82,000,0,0.30
48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,ตาก,16.75000,98.93333,2025-06-11 07:00,1006.35,21.2,26.8,-1.0,20.8,-0.8,93,240,6,13.70
48385,อุ้มผาง,UMPHANG,ตาก,16.02472,98.86444,2025-06-11 07:00,1006.29,23.2,31.1,-1.3,22.6,-0.2,95,000,0,1.00
48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79481,100.27930,2025-06-11 07:00,1004.73,27.4,34.3,-1.0,26.8,0.6,92,060,2,0.00
48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333,101.15000,2025-06-11 07:00,1003.42,25.4,33.7,-1.7,25.2,0.4,92,000,0,5.40
48374,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361,101.24944,2025-06-11 07:00,1005.27,26.4,35.8,-0.3,26.2,1.9,89,000,0,0.00
48413,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,15.65700,101.10800,2025-06-11 07:00,1004.54,28.2,34.5,-0.7,27.7,1.3,78,000,0,2.50
48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48681,99.52697,2025-06-11 07:00,1004.97,26.0,32.6,-2.0,25.1,-2.0,93,000,0,6.70
48381,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111,102.78972,2025-06-11 07:00,1006.48,23.5,35.4,-0.9,23.2,-1.6,99,090,2,81.50
48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333,102.81667,2025-06-11 07:00,1005.65,24.0,35.0,-1.7,22.5,-0.6,97,000,0,82.50
48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54139,104.72889,2025-06-11 07:00,1003.97,25.3,33.5,-3.5,24.4,-0.7,96,000,0,36.10
48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.43806,100.29250,2025-06-11 07:00,1003.23,27.5,34.1,-0.3,27.2,1.1,92,000,0,0.00
48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722,103.06805,2025-06-11 07:00,1006.10,23.5,35.0,-0.7,23.1,-2.2,98,340,2,96.80
48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.33250,103.58833,2025-06-11 07:00,1004.82,25.6,35.2,-0.2,24.1,-1.7,97,000,0,43.40
48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,15.90375,104.61805,2025-06-11 07:00,1005.00,24.1,32.5,-1.5,23.3,-2.4,100,000,0,101.20
