WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48385,อุ้มผาง,UMPHANG,ตาก,16.02472,98.86444,2025-06-11 07:00:00,1006.29,23.2,31.1,-1.3,22.6,-0.2,95,0.0,0.0,1.0
48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79481,100.2793,2025-06-11 07:00:00,1004.73,27.4,34.3,-1.0,26.8,0.6,92,60.0,2.0,0.0
48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333,101.15,2025-06-11 07:00:00,1003.42,25.4,33.7,-1.7,25.2,0.4,92,0.0,0.0,5.4
48374,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361,101.24944,2025-06-11 07:00:00,1005.27,26.4,35.8,-0.3,26.2,1.9,89,0.0,0.0,0.0
48413,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,15.657,101.108,2025-06-11 07:00:00,1004.54,28.2,34.5,-0.7,27.7,1.3,78,0.0,0.0,2.5
48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48681,99.52697,2025-06-11 07:00:00,1004.97,26.0,32.6,-2.0,25.1,-2.0,93,0.0,0.0,6.7
48381,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111,102.78972,2025-06-11 07:00:00,1006.48,23.5,35.4,-0.9,23.2,-1.6,99,90.0,2.0,81.5
48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333,102.81667,2025-06-11 07:00:00,1005.65,24.0,35.0,-1.7,22.5,-0.6,97,0.0,0.0,82.5
48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54139,104.72889,2025-06-11 07:00:00,1003.97,25.3,33.5,-3.5,24.4,-0.7,96,0.0,0.0,36.1
48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.43806,100.2925,2025-06-11 07:00:00,1003.23,27.5,34.1,-0.3,27.2,1.1,92,0.0,0.0,0.0
48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722,103.06805,2025-06-11 07:00:00,1006.1,23.5,35.0,-0.7,23.1,-2.2,98,340.0,2.0,96.8
48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.3325,103.58833,2025-06-11 07:00:00,1004.82,25.6,35.2,-0.2,24.1,-1.7,97,0.0,0.0,43.4
48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,15.90375,104.61805,2025-06-11 07:00:00,1005.0,24.1,32.5,-1.5,23.3,-2.4,100,0.0,0.0,101.2
48400,นครสวรรค์,NAKHON SAWAN,นครสวรรค์,15.67183,100.13236,2025-06-11 07:00:00,1005.23,26.7,34.6,-0.9,25.7,-0.3,93,0.0,0.0,0.0
