WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,Observation
48329,ลำพูน,LAMPHUN,ลำพูน,"{'@Unit': 'decimal degree', '#text': '18.56722'}","{'@Unit': 'decimal degree', '#text': '99.03389'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.96'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.4'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.4'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '18.80'}}"
48330,แพร่,PHRAE,แพร่,"{'@Unit': 'decimal degree', '#text': '18.16667'}","{'@Unit': 'decimal degree', '#text': '100.16667'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.04'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.9'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '99'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '4.30'}}"
48331,น่าน,NAN,น่าน,"{'@Unit': 'decimal degree', '#text': '18.77972'}","{'@Unit': 'decimal degree', '#text': '100.77778'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.98'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.6'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.2'}, 'RelativeHumidity': {'@Unit': '%', '#text': '95'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48333,น่าน สกษ.,NAN AGROMET.,น่าน,"{'@Unit': 'decimal degree', '#text': '18.86667'}","{'@Unit': 'decimal degree', '#text': '100.75000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.98'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.3'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '88'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48315,ท่าวังผา,THA WANGPHA,น่าน,"{'@Unit': 'decimal degree', '#text': '19.11056'}","{'@Unit': 'decimal degree', '#text': '100.80250'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.50'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-4.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.1'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.8'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.20'}}"
48307,ทุ่งช้าง,THUNG CHANG,น่าน,"{'@Unit': 'decimal degree', '#text': '19.41194'}","{'@Unit': 'decimal degree', '#text': '100.88353'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.70'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '31.3'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.8'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48351,อุตรดิตถ์,UTTARADIT,อุตรดิตถ์,"{'@Unit': 'decimal degree', '#text': '17.61667'}","{'@Unit': 'decimal degree', '#text': '100.10000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.83'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.8'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '36.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.2'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '35.80'}}"
48352,หนองคาย,NONG KHAI,หนองคาย,"{'@Unit': 'decimal degree', '#text': '17.86717'}","{'@Unit': 'decimal degree', '#text': '102.73303'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.55'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.7'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '2.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.8'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-2.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '210'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '2'}, 'Rainfall': {'@Unit': 'mm', '#text': '36.20'}}"
48353,เลย,LOEI,เลย,"{'@Unit': 'decimal degree', '#text': '17.45000'}","{'@Unit': 'decimal degree', '#text': '101.73333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.28'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.3'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '36.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '1.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.3'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.3'}, 'RelativeHumidity': {'@Unit': '%', '#text': '93'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.40'}}"
48350,เลย สกษ.,LOEI AGROMET.,เลย,"{'@Unit': 'decimal degree', '#text': '17.40000'}","{'@Unit': 'decimal degree', '#text': '101.73333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.35'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '1.1'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.5'}, 'RelativeHumidity': {'@Unit': '%', '#text': '98'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.20'}}"
